Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M03,2013-04-22,Equal-total control,2.9136591080811636,4.135910309605846,1.2222512015246825,-2.538614725219316,0
M03,2013-04-28,No feedback,3.534058570703351,4.387184984418424,0.8531264137150725,-1.703658155672845,0
M03,2013-04-28,Previous-day persistence,3.3235008529965597,3.3708187201531485,0.04731786715658837,-1.912631282869802,0
M03,2013-04-28,ECF,3.627905961024215,4.474892645291549,0.8469866842673337,-1.6108880741918208,10
M03,2013-04-28,Equal-total control,3.5340419087107664,4.387167964939828,0.8531260562290615,-1.7036746214376841,0
M03,2013-04-29,No feedback,3.5238370882603767,4.3346070331998785,0.8107699449395024,-1.5022304979285213,0
M03,2013-04-29,Previous-day persistence,3.3173813595898727,3.381285780218942,0.06390442062906926,-1.7073621092894178,0
M03,2013-04-29,ECF,3.5043979817853748,4.310276836278798,0.8058788544934238,-1.5214223308740842,9
M03,2013-04-29,Equal-total control,3.523838957079745,4.334609255763645,0.8107702986838998,-1.5022286581770152,0
M03,2013-04-30,No feedback,3.085813466762648,4.345232525664733,1.2594190589020848,-1.9577529290065159,0
M03,2013-04-30,Previous-day persistence,2.841275446379411,3.401419975646096,0.5601445292666853,-2.200889306707462,0
M03,2013-04-30,ECF,3.071598486321171,4.238877848750247,1.1672793624290765,-1.9721137975024465,9
M03,2013-04-30,Equal-total control,3.0858391133374976,4.345266164598427,1.2594270512609294,-1.9577276008089315,0
M03,2013-05-01,No feedback,3.032780397177979,4.062462541555415,1.0296821443774358,-2.0513549900088384,0
M03,2013-05-01,Previous-day persistence,2.5897741641479732,2.7371655347992094,0.1473913706512363,-2.492359286256088,0
M03,2013-05-01,ECF,3.0580733029069567,4.0494914875234,0.9914181846164429,-2.0264620718393798,13
M03,2013-05-01,Equal-total control,3.0327994861327277,4.0624824303105616,1.029682944177834,-2.0513361475579863,0
M03,2013-05-06,No feedback,3.327205409370833,4.192170843250575,0.864965433879742,-2.243579385863864,0
M03,2013-05-06,Previous-day persistence,2.8493582155358395,2.954646755337213,0.10528853980137312,-2.718202234548849,0
M03,2013-05-06,ECF,3.3354959957256876,4.19301644696051,0.8575204512348218,-2.2354076227907,7
M03,2013-05-06,Equal-total control,3.3272096660170427,4.1921765087525,0.8649668427354563,-2.2435751686034155,0
M03,2013-05-07,No feedback,3.062705997939518,4.1655776397176325,1.1028716417781137,-2.4545490855921455,0
M03,2013-05-07,Previous-day persistence,2.8619319815188504,3.248708825627529,0.38677684410867874,-2.6545902926582348,0
M03,2013-05-07,ECF,3.1144907914072544,4.212243535630257,1.097752744223003,-2.403346514444134,6
M03,2013-05-07,Equal-total control,3.0626878156758868,4.165563057595787,1.102875241919901,-2.4545670423699057,0
M03,2013-05-08,No feedback,3.3226421571720586,4.476819023734257,1.154176866562198,-2.0984244739057583,0
